EX_but(e)	3.4456549693905196
EX_octa(e)	5.053327607216303
EX_dca(e)	4.297828347737635
EX_ddca(e)	19.980575465932937
EX_ttdca(e)	12.26324643851462
EX_hdca(e)	63.53271778873766
EX_ocdca(e)	19.790561094270174
EX_hdcea(e)	3.7920337900152448
EX_ocdcea(e)	103.43395602966604
EX_CE2510(e)	1.5227051700997654
EX_doco13ac(e)	0.2622679780791368
EX_lnlc(e)	46.32145470811899
EX_strdnc(e)	0.12681468581997912
EX_arachd(e)	0.6562941472469583
EX_tmndnc[e]	0.19472630158062995
EX_clpnd(e)	0.15667434100909206
EX_crvnc(e)	0.5857509596760477
EX_chsterol(e)	0.9237410239400394
EX_ca2(e)	23.685690403712755
EX_fe2(e)	0.08708697287134032
EX_fe3(e)	0.08708697287134032
EX_mg2(e)	13.352952067475826
EX_pi(e)	13.17022003702882
EX_k(e)	67.65455531314662
EX_na1(e)	68.10838251265825
EX_zn2(e)	0.11135848883450597
EX_cu2(e)	0.017168915431341074
EX_mn2(e)	0.05149867455239805
EX_h2o(e)	127565.68601764725
EX_etoh(e)	384.48546074966794
EX_trp_L(e)	3.126394783797494
EX_thr_L(e)	19.666622173419565
EX_ile_L(e)	19.425401893226425
EX_leu_L(e)	33.24762279403749
EX_lys_L(e)	27.34319051873189
EX_met_L(e)	9.439693240391312
EX_phe_L(e)	15.497189584542808
EX_tyr_L(e)	11.021743653708707
EX_val_L(e)	25.487283849340525
EX_arg_L(e)	22.82286630416606
EX_his_L(e)	9.328793989994496
EX_ala_D[e]	17.09869889059996
EX_ala_L(e)	17.09869889059996
EX_asp_D[e]	23.77129286791976
EX_asp_L(e)	23.77129286791976
EX_glu_L(e)	63.77774150654286
EX_gly(e)	34.2859927051445
EX_pro_D[e]	10.904091444056963
EX_pro_L(e)	10.904091444056963
EX_ser_L(e)	25.544545477036436
EX_ascb_L(e)	0.2788740276456433
EX_thm(e)	0.004647065097043728
EX_ribflv(e)	0.003981678901722509
EX_nac(e)	0.09311232867737088
EX_ncam(e)	0.09309471637982847
EX_pnto_R(e)	0.02768125896428948
EX_pydam(e)	0.0034082215826147606
EX_pydx(e)	0.003449794211603115
EX_pydxn(e)	0.003408688965100622
EX_5mthf(e)	0.00019036890560519525
EX_fol(e)	0.0005342382708942879
EX_thf(e)	0.0001968236518841451
EX_chol[e]	3.9648925610631767
EX_adpcbl(e)	0.000005804885824843006
EX_retinol(e)	0.0021343434632587147
EX_caro(e)	0.014102469189152136
EX_avite1(e)	0.02135286683889548
EX_phyQ(e)	0.00012975375624839553
EX_sucr(e)	27.85555505241801
EX_glc_D(e)	21.51907875345742
EX_fru(e)	39.76664100370846
EX_lcts(e)	0
EX_malt(e)	7.099020878098374
EX_gal(e)	0
EX_starch1200(e)	0.00618072962756573
EX_strch1(e)	0.6675807253694699
EX_strch2[e]	2.3842179728652
EX_ptdca(e)	0.08690556676841088
EX_hpdca(e)	0.3196263992307084
EX_arach(e)	0.11770899373239493
EX_docosac(e)	0.11244741966148332
EX_lgnc(e)	0.04294331673688242
EX_ttdcea(e)	0.03511028098431264
EX_CE4843(e)	0.3719881609427537
EX_vitd3(e)	0.00001842068523184285
EX_lnlnca(e)	0.7896927313184225
EX_4hpro[e]	0.06150542324824468
