ID,CTR_SRR23389308,CTR_SRR23389309,CTR_SRR23389310,CTR_SRR23389311,CTR_SRR23389312,CTR_SRR23389313,CTR_SRR23389314,CTR_SRR23389315,CTR_SRR23389316,CTR_SRR23389317,CTR_SRR23389319,CTR_SRR23389320,CTR_SRR23389321,CTR_SRR23389322,CTR_SRR23389323,CTR_SRR23389324,CTR_SRR23389325,CTR_SRR23389326,CTR_SRR23389327,CTR_SRR23389328,CTR_SRR23389331,CTR_SRR23389332,CTR_SRR23389333,CTR_SRR23389334,CTR_SRR23389335,CTR_SRR23389336,CTR_SRR23389337,CTR_SRR23389339,CTR_SRR23389340,CTR_SRR23389341,CTR_SRR23389330,CTR_SRR23389342,CTR_SRR23389343,CTR_SRR23389344,CTR_SRR23389345,CTR_SRR23389346,CTR_SRR23389347,CTR_SRR23389348,CTR_SRR23389350,CTR_SRR23389262,CTR_SRR23389263,CTR_SRR23389264,CTR_SRR23389265,CTR_SRR23389266,CTR_SRR23389267,CTR_SRR23389268,CTR_SRR23389269,CTR_SRR23389270,CTR_SRR23389272,CTR_SRR23389273,CTR_SRR23389274,CTR_SRR23389275,CTR_SRR23389276,CTR_SRR23389277,CTR_SRR23389278,CTR_SRR23389279,CTR_SRR23389280,CTR_SRR23389281,CTR_SRR23389283,CTR_SRR23389284,CTR_SRR23389285,CTR_SRR23389291,CTR_SRR23389292,CTR_SRR23389293,CTR_SRR23389294,CTR_SRR23389295,CTR_SRR23389297,CTR_SRR23389298,CTR_SRR23389299,CTR_SRR23389300,CTR_SRR23389301,CTR_SRR23389302,CTR_SRR23389303,CTR_SRR23389304,CTR_SRR23389305,CTR_SRR23389306,CTR_A_461K_BV0D0,CTR_A_464S_WV0D0,CTR_A_466Y_YV0D0,CTR_A_564P_MV0D0,CTR_A_565K_UV0D0,CTR_A_661R_BV0D0,CTR_A_662W_TV0D0,CTR_A_665S_JV0D0,CTR_A_666J_PV0D0,CTR_A_465N_LV0D0
Anaerostipes_hadrus_DSM_3319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011455,0,0
Anaerotruncus_colihominis_DSM_17241,0.0015522,0,0.0011769,0,0.0012997,0,0,0,0,0.0012158,0.0011794,0.0017941,0,0,0,0.0022678,0.0014143,0.0016629,0,0,0,0.0020153,0.001533,0,0.0013703,0.0021877,0,0,0,0.0015458,0,0,0,0,0.001276,0,0,0,0,0,0,0,0.0022496,0,0,0,0,0,0,0.0010982,0,0,0.0013422,0,0.0016511,0.0011187,0.0011405,0.0010516,0.0012296,0,0.0017071,0,0,0.0011533,0,0.0010642,0,0.0021152,0,0,0,0,0,0.0016484,0,0,0.0015853,0,0.0019938,0.0024362,0.0031757,0.0033935,0.001594,0,0.0011513,0.0017739
Bacillus_timonensis_JC401,0.010931,0.012045,0.058225,0.019055,0.020767,0.02108,0.023277,0.035317,0.034376,0.021132,0.016394,0.011223,0.026426,0.029336,0.023196,0.037831,0.027935,0.014691,0.061061,0.028491,0.033679,0.033492,0.02217,0.018053,0.029491,0.021832,0.035801,0.033676,0,0.047672,0.024,0.059015,0.021835,0.016374,0.063302,0.029876,0.031045,0.036524,0.02166,0.037511,0.041525,0.011125,0.040033,0.015412,0.024203,0.024031,0.028037,0.036469,0.0089873,0.020729,0.010625,0.025162,0.045713,0.022212,0.023819,0.037775,0.055754,0.026148,0.017127,0.026444,0.030579,0.010786,0.013368,0.01875,0.0078376,0.022234,0.020273,0.033395,0.023814,0.033393,0.010307,0.023486,0.02022,0.0132,0.010494,0.032098,0.01101,0.015498,0.033048,0.010232,0.010764,0.034489,0.0076538,0.015219,0.0071125,0.012424
Bacteroides_caCCAe_ATCC_43185,0,0.0039016,0.031045,0.0055023,0.0022089,0,0,0.031652,0.015714,0.0032236,0.0078909,0.0081338,0.030526,0,0.0050629,0,0.011635,0,0.010148,0.013513,0.010522,0.0058483,0.030752,0.0013433,0.0051781,0.0060725,0,0.014453,0.010823,0.0031665,0,0.018704,0.0054575,0.0033778,0.018615,0.0037034,0.0018564,0.037241,0.0014005,0,0.015166,0.0035248,0.011593,0,0.0023888,0,0.0026178,0.0015647,0.0023258,0.0010896,0,0.005109,0.0032326,0.0092858,0.012346,0.04153,0.0068215,0,0.010522,0.0048997,0.011307,0.0071503,0.0039147,0.0098028,0,0.0084001,0.0024877,0.010234,0.0012306,0.011617,0,0,0.0071958,0.0060147,0,0.026668,0,0,0,0.0048962,0.001175,0.0066947,0.018445,0.0012497,0.0030257,0
Bacteroides_cellulosilyticus_DSM_14838,0,0,0,0,0,0,0,0,0,0,0,0.016081,0,0.0018793,0,0.0010022,0.0016209,0,0.012305,0.0015916,0.0012843,0,0,0,0,0,0,0.0010167,0,0,0,0,0,0,0.0055532,0,0,0.0043363,0,0,0,0,0.012516,0,0,0,0,0,0,0.001041,0,0,0,0,0,0,0.0062589,0,0,0,0.0012525,0.0032736,0,0,0,0,0,0,0,0,0,0,0,0,0.0053394,0,0,0,0,0,0,0,0,0,0,0
Bacteroides_clarus_YIT_12056,0,0,0,0,0,0,0.020321,0.0030557,0.0011794,0,0,0.001399,0,0,0,0,0.012775,0,0.001432,0,0,0,0.0059954,0.0015856,0,0,0.0010234,0,0,0,0,0.0013862,0,0,0,0,0,0,0,0.0043545,0.0012553,0,0.002258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025956,0,0.0011245,0,0,0,0,0,0,0.0015365,0,0,0.0013382,0,0,0.0018247,0,0,0,0,0.0015735,0.0013713,0,0,0,0
Bacteroides_coprocola_M16_DSM_17136,0.0028541,0,0.090794,0.0040501,0.0089739,0,0.001229,0.0044465,0.011252,0.015978,0.0043392,0.0021871,0.014445,0.099478,0.025115,0.0011814,0.0048794,0.0023938,0,0.0069328,0.0085729,0.0070258,0.0079436,0.074797,0.077943,0.0085617,0.0038508,0,0,0.076667,0.0022598,0,0.011177,0.005508,0.0042718,0.017235,0.0024828,0.0039071,0.0084441,0.010077,0.0033969,0,0.03736,0.0050409,0,0,0,0.0046058,0.0072644,0.0030164,0,0.0029806,0.001063,0,0.012601,0.11978,0.0075373,0,0.0051263,0.0016637,0.0039459,0.086256,0.0039053,0.15915,0,0.012649,0.11768,0.001181,0,0,0,0.0033634,0.0041205,0.0026585,0.001708,0.015288,0,0,0,0.018148,0.0061191,0.0011609,0.002701,0,0.0011042,0
Bacteroides_coprophilus_DSM_18228,0.015728,0.0083112,0,0,0,0,0,0,0,0.033996,0,0.0023493,0,0.044018,0.015601,0.0012297,0,0,0,0,0,0.00199,0.0065435,0,0.0042744,0.012888,0,0,0,0.006954,0.0027385,0,0,0.011312,0.01213,0,0.0014821,0,0,0.0029571,0.007643,0,0,0,0,0,0,0,0,0,0,0.0068083,0,0,0.0035259,0,0.069571,0,0.0034325,0.0039336,0,0.0041718,0,0,0,0,0,0,0,0,0,0.013724,0,0,0.0020606,0.024619,0,0,0,0.00399,0.0010704,0.0018107,0.0020395,0,0,0
Bacteroides_dorei_DSM_17855,0.0013985,0.0010238,0.015676,0.0046217,0.0029661,0,0.0024232,0.022444,0.011756,0.0026562,0.0073401,0.0017887,0.016448,0.0021948,0.0076592,0.0045527,0.01724,0.0027641,0,0.041028,0.037082,0.0025847,0.0070561,0.0017833,0.0015971,0.012035,0.0018583,0.027412,0,0.0032266,0.002135,0.010512,0.0032852,0.0043562,0.010567,0.0028683,0,0.024052,0.004415,0.0031881,0.0022378,0,0.0095195,0.014261,0.0057291,0.0010003,0.006147,0.011277,0.0042543,0.0061659,0.0079336,0.0010728,0.0047027,0.0044017,0.0094309,0.010614,0.006723,0.0023404,0.0060983,0.0012403,0.010613,0.011276,0.0032013,0.002432,0.0032153,0.0041882,0.0029145,0.0020697,0,0.038915,0,0.0015422,0.011511,0.0017174,0.0015705,0.0060412,0,0,0,0.0016904,0.023231,0,0.0048151,0,0.0020141,0
Bacteroides_eggerthii_1_2_48FAA,0.0024537,0,0,0,0,0,0,0.0031694,0,0.0013297,0.0017989,0.0020408,0.0037582,0.0026412,0.0019871,0.0045272,0.0048172,0.0020439,0,0.0050827,0,0,0.0046336,0.013049,0.001322,0,0.0040472,0,0,0.0043067,0,0,0,0.0015488,0.0023625,0,0,0.0039321,0,0.013205,0.0015522,0,0.011107,0.0031947,0,0,0,0.0024403,0,0.0032162,0.010041,0.0011295,0.0015538,0,0.0016165,0.0048328,0.0013453,0,0,0.0017474,0,0.0025861,0.0038351,0.0049902,0,0.0071971,0,0.0013663,0,0.0039941,0,0,0.0042732,0,0.0089081,0.0071089,0,0,0,0.0012195,0.02387,0.0013351,0,0,0.0058107,0
