Net secretion,CTR_SRR23389308,CTR_SRR23389309,CTR_SRR23389310,CTR_SRR23389311,CTR_SRR23389312,CTR_SRR23389313,CTR_SRR23389314,CTR_SRR23389315,CTR_SRR23389316,CTR_SRR23389317,CTR_SRR23389319,CTR_SRR23389320,CTR_SRR23389321,CTR_SRR23389322,CTR_SRR23389323,CTR_SRR23389324,CTR_SRR23389325,CTR_SRR23389326,CTR_SRR23389327,CTR_SRR23389328,CTR_SRR23389331,CTR_SRR23389332,CTR_SRR23389333,CTR_SRR23389334,CTR_SRR23389335,CTR_SRR23389336,CTR_SRR23389337,CTR_SRR23389339,CTR_SRR23389340,CTR_SRR23389341,CTR_SRR23389330,CTR_SRR23389342,CTR_SRR23389343,CTR_SRR23389344,CTR_SRR23389345,CTR_SRR23389346,CTR_SRR23389347,CTR_SRR23389348,CTR_SRR23389350,CTR_SRR23389262,CTR_SRR23389263,CTR_SRR23389264,CTR_SRR23389265,CTR_SRR23389266,CTR_SRR23389267,CTR_SRR23389268,CTR_SRR23389269,CTR_SRR23389270,CTR_SRR23389272,CTR_SRR23389273,CTR_SRR23389274,CTR_SRR23389275,CTR_SRR23389276,CTR_SRR23389277,CTR_SRR23389278,CTR_SRR23389279,CTR_SRR23389280,CTR_SRR23389281,CTR_SRR23389283,CTR_SRR23389284,CTR_SRR23389285,CTR_SRR23389291,CTR_SRR23389292,CTR_SRR23389293,CTR_SRR23389294,CTR_SRR23389295,CTR_SRR23389297,CTR_SRR23389298,CTR_SRR23389299,CTR_SRR23389300,CTR_SRR23389301,CTR_SRR23389302,CTR_SRR23389303,CTR_SRR23389304,CTR_SRR23389305,CTR_SRR23389306,CTR_A_461K_BV0D0,CTR_A_464S_WV0D0,CTR_A_466Y_YV0D0,CTR_A_564P_MV0D0,CTR_A_565K_UV0D0,CTR_A_661R_BV0D0,CTR_A_662W_TV0D0,CTR_A_665S_JV0D0,CTR_A_666J_PV0D0,CTR_A_465N_LV0D0,mean,sd,max,max,Net secretion
EX_ac[fe],381.6822692,389.3126337,394.3467172,390.1123278,387.4657036,386.5053683,384.2877901,385.3669178,375.5142258,381.2724618,379.5711565,376.4987538,387.0083699,387.9484639,384.334013,370.9398611,391.2760948,381.8389812,389.1023956,393.731493,389.3202449,387.771626,386.1230796,384.0358099,385.2869455,385.4756675,376.8214836,389.9137816,386.9328,383.9552046,379.3841046,385.8205086,384.3497407,387.4453556,390.4222662,386.8082876,381.9411119,389.3967005,391.2863465,388.4681782,391.815782,392.6126816,392.7698678,394.8633114,390.81869,396.3862,386.630587,388.285453,385.90036,382.7443078,388.9670685,379.5169853,386.9592587,394.806902,386.1418838,386.6109745,386.5156134,372.3750934,392.8046164,368.0448566,380.3152583,384.5397482,380.3572821,379.3726159,392.5504491,388.3672426,386.4094549,383.0149238,387.6293717,392.4156242,387.9588688,377.4859789,389.032819,385.5614801,369.0931135,381.7999263,383.9040959,383.7852452,387.0541986,379.1863108,383.3030639,376.7904442,375.1527456,384.5090593,381.2178763,367.1911452,385.0307451,6.088622192,396.3862,367.1911452,EX_ac[fe]
EX_ppa[fe],220.1844964,227.0308985,279.4887914,182.5978715,194.0354809,184.1716255,302.8386641,201.1954051,219.6588042,182.7529504,276.8355108,158.9350629,277.5188532,233.9129417,254.6665396,173.6351748,199.4310784,232.3643664,263.7895221,273.4794929,251.130134,232.5973183,229.1610411,194.6944606,224.1100251,191.1459186,186.144271,213.4897073,279.76644,262.2192517,207.3104552,281.1956782,242.0145254,312.214805,191.6530634,189.6380055,188.7628943,278.1542719,261.9247051,249.3750758,249.9545118,241.484556,236.8771079,296.7088955,229.6610689,263.0620756,284.7836592,173.6096768,362.1031774,214.5500144,185.6359819,187.4583158,125.8517303,234.0920993,190.2045821,264.3680485,246.2995001,205.8943086,234.5944387,251.0743139,255.2797069,332.4464827,283.5403665,274.0294528,291.4843131,274.1096596,272.8799093,173.506484,232.9572272,229.4113451,175.4951775,291.8522578,300.7062722,198.3001668,155.7596205,305.1267447,112.8250484,260.1195242,148.5142216,183.6729988,224.7016587,200.1922312,163.6883626,253.0746263,134.1281752,114.9347529,229.3747724,49.70742045,362.1031774,112.8250484,EX_ppa[fe]
EX_but[fe],152.26004,191.388,48.21588,164.16816,90.92616,110.87948,65.50888,128.2998,127.89236,124.02512,89.26372,147.56388,76.87,120.47144,102.68228,180.8102,187.3284,150.1762,105.72292,35.93176,112.63992,140.91648,83.60388,135.25512,135.96368,116.26036,153.3394,98.55364,21.04684,82.24008,162.87572,84.93504,125.5672,28.6604,114.96144,164.62708,150.38584,85.0348,127.45276,123.15104,114.17944,99.92688,95.65668,91.33808,115.44876,14.6864,58.93132,147.32652,34.70632,158.39284,94.7842,120.89168,84.33616,126.94152,125.39112,79.97372,81.88444,162.47352,70.0042,106.69444,83.919,56.62684,110.24904,74.11736,64.15428,92.93872,74.31888,141.9722,170.42376,79.48416,29.60644,83.0504,39.9636,137.10612,144.83012,80.76528,158.20764,9.53672,272.26208,151.83656,158.60984,134.50168,144.06564,128.01788,254.9624,253.72972,113.5009302,49.79410533,272.26208,9.53672,EX_but[fe]
EX_isobut[fe],42.56968,25.34372,192.53404,53.59512,56.02052,10.0602,164.08256,83.4688,38.12188,83.1354,102.90616,79.05584,118.52752,114.16308,73.92664,31.36948,45.05344,43.30892,48.253,197.02936,100.16904,59.48628,81.43688,67.83876,72.35976,50.07052,75.85688,122.14828,144.967,116.66096,26.4782,149.39524,61.5328,77.74856,61.17896,30.69988,17.04328,151.71704,105.09736,148.88072,33.15328,17.06844,125.80696,84.17344,37.99128,7.4304,14.98104,52.06016,169.9188,53.48584,85.2608,42.26844,29.94676,138.00028,65.0346,153.1518,95.58076,38.14096,123.92744,33.60228,144.17692,208.79476,85.3076,141.91504,82.15696,164.57104,141.34328,30.4074,35.8164,124.47064,11.05436,57.94664,146.59468,69.99988,103.9544,142.99412,2.4038,11.26084,3.34604,61.00416,113.70148,25.9064,13.01212,1.50552,28.0988,0.4844,77.63375814,52.16125767,208.79476,0.4844,EX_isobut[fe]
